"time","Room 1 - Actual","Room 1 - Set"
2024-02-01 20:56:00,20.0 °C,20 °C
2024-02-01 21:01:00,20.0 °C,20 °C
2024-02-01 21:15:00,20.0 °C,20 °C
2024-02-01 21:17:00,20.0 °C,20 °C
2024-02-01 21:21:00,20.0 °C,20 °C
2024-02-01 21:29:00,20.0 °C,20 °C
2024-02-01 21:33:00,20.0 °C,20 °C
2024-02-01 21:41:00,20.0 °C,20 °C
2024-02-01 21:44:00,20.0 °C,20 °C
2024-02-01 21:47:00,20.0 °C,20 °C
2024-02-01 21:48:00,20 °C,20 °C
2024-02-01 22:05:00,20.0 °C,20 °C
2024-02-01 22:18:00,20.0 °C,20 °C
2024-02-01 22:19:00,20.0 °C,20 °C
2024-02-01 22:22:00,20.0 °C,20 °C
2024-02-01 22:23:00,20.0 °C,20 °C
2024-02-01 22:27:00,20.0 °C,20 °C
2024-02-01 22:30:00,20.0 °C,20 °C
2024-02-01 22:34:00,20.0 °C,20 °C
2024-02-01 22:54:00,20.0 °C,20 °C
2024-02-01 22:56:00,20.0 °C,20 °C
2024-02-01 22:58:00,20.0 °C,20 °C
2024-02-01 22:59:00,20.0 °C,19 °C
2024-02-01 23:01:00,20.0 °C,19 °C
2024-02-01 23:02:00,20.0 °C,19 °C
2024-02-01 23:03:00,20.0 °C,19 °C
2024-02-01 23:04:00,20.0 °C,19 °C
2024-02-01 23:05:00,20 °C,19 °C
2024-02-01 23:06:00,20.0 °C,19 °C
2024-02-01 23:07:00,20.0 °C,19 °C
2024-02-01 23:08:00,20.0 °C,19 °C
2024-02-01 23:09:00,20.0 °C,19 °C
2024-02-01 23:10:00,20.0 °C,19 °C
2024-02-01 23:11:00,19.9 °C,19 °C
2024-02-01 23:12:00,19.9 °C,19 °C
2024-02-01 23:13:00,19.9 °C,19 °C
2024-02-01 23:14:00,19.9 °C,19 °C
2024-02-01 23:16:00,19.9 °C,19 °C
2024-02-01 23:18:00,19.9 °C,19 °C
2024-02-01 23:22:00,19.9 °C,19 °C
2024-02-01 23:24:00,19.9 °C,19 °C
2024-02-01 23:30:00,19.9 °C,19 °C
2024-02-01 23:31:00,19.9 °C,19 °C
2024-02-01 23:32:00,19.9 °C,19 °C
2024-02-01 23:33:00,19.9 °C,19 °C
2024-02-01 23:34:00,19.8 °C,19 °C
2024-02-01 23:35:00,19.8 °C,19 °C
2024-02-01 23:36:00,19.8 °C,19 °C
2024-02-01 23:37:00,19.8 °C,19 °C
2024-02-01 23:38:00,19.8 °C,19 °C
2024-02-01 23:40:00,19.8 °C,19 °C
2024-02-01 23:42:00,19.8 °C,19 °C
2024-02-01 23:44:00,19.8 °C,19 °C
2024-02-01 23:46:00,19.8 °C,19 °C
2024-02-01 23:47:00,19.7 °C,19 °C
2024-02-01 23:49:00,19.7 °C,19 °C
